"","job","marital","education","balance","housing","loan","month","campaign","pdays","previous","poutcome","y"
"540","admin.","married","secondary",920,"yes","yes","may",1,-1,0,"nonexistent","no"
"541","admin.","single","secondary",3696,"no","no","jul",2,181,4,"success","yes"
"543","services","married","secondary",0,"yes","no","jul",13,-1,0,"nonexistent","no"
"544","blue-collar","married","secondary",157,"yes","no","may",1,-1,0,"nonexistent","no"
"545","admin.","married","secondary",2465,"no","no","aug",3,-1,0,"nonexistent","no"
"546","blue-collar","married","primary",0,"yes","no","jul",6,-1,0,"nonexistent","no"
"547","self-employed","married","secondary",2,"no","no","feb",2,-1,0,"nonexistent","no"
"548","management","married","tertiary",0,"no","no","jul",5,-1,0,"nonexistent","no"
"549","management","single","tertiary",12437,"no","no","nov",1,-1,0,"nonexistent","no"
"550","student","single","secondary",378,"yes","no","apr",1,-1,0,"nonexistent","no"
"551","blue-collar","married","primary",211,"no","no","jun",2,-1,0,"nonexistent","no"
"552","technician","married","secondary",-228,"yes","no","apr",3,332,3,"nonexistent","no"
"553","retired","married","secondary",2747,"no","no","sep",1,80,1,"failure","no"
"554","self-employed","married","tertiary",1932,"yes","no","may",32,-1,0,"nonexistent","no"
"555","technician","single","secondary",11269,"no","no","may",1,-1,0,"nonexistent","no"
"556","admin.","married","secondary",1314,"yes","no","may",2,85,7,"success","no"
"557","blue-collar","married","primary",2275,"no","no","aug",9,-1,0,"nonexistent","no"
"558","management","single","tertiary",1304,"no","no","aug",2,-1,0,"nonexistent","yes"
"559","blue-collar","married","secondary",720,"no","yes","jul",1,-1,0,"nonexistent","yes"
"560","technician","divorced","secondary",2914,"yes","no","aug",13,-1,0,"nonexistent","no"
"561","technician","married","secondary",1464,"yes","no","may",1,-1,0,"nonexistent","no"
"562","student","single","secondary",11555,"no","no","apr",2,-1,0,"nonexistent","no"
"563","services","married","secondary",-302,"yes","no","may",2,-1,0,"nonexistent","no"
"564","technician","married","secondary",2497,"yes","no","nov",1,176,1,"failure","no"
"565","blue-collar","married","secondary",-339,"yes","no","may",2,-1,0,"nonexistent","no"
"566","technician","married","secondary",56,"yes","yes","jan",1,247,1,"failure","no"
"567","self-employed","single","tertiary",211,"no","no","jan",3,-1,0,"nonexistent","no"
"568","management","divorced","tertiary",3611,"yes","no","jun",3,-1,0,"nonexistent","no"
"569","unemployed","married","primary",0,"no","no","jan",2,-1,0,"nonexistent","no"
"570","student","single","secondary",459,"no","no","mar",13,-1,0,"nonexistent","no"
"572","self-employed","married","secondary",1138,"no","no","aug",10,-1,0,"nonexistent","no"
"573","management","married","tertiary",1319,"yes","no","apr",1,150,1,"failure","no"
"574","retired","married","secondary",1,"no","no","aug",5,-1,0,"nonexistent","no"
"575","services","divorced","secondary",67,"yes","no","may",2,-1,0,"nonexistent","no"
"577","services","married","secondary",0,"yes","yes","may",1,-1,0,"nonexistent","no"
"578","management","married","tertiary",-558,"yes","no","jul",1,-1,0,"nonexistent","no"
"579","blue-collar","married","secondary",171,"no","no","feb",3,175,2,"nonexistent","no"
"580","technician","single","tertiary",696,"no","yes","feb",1,176,8,"failure","no"
"581","management","married","tertiary",361,"yes","yes","jul",3,-1,0,"nonexistent","no"
"582","technician","single","secondary",227,"no","no","apr",1,-1,0,"nonexistent","yes"
"583","admin.","married","secondary",236,"yes","yes","may",3,-1,0,"nonexistent","no"
"584","management","single","tertiary",-53,"no","no","jan",2,-1,0,"nonexistent","no"
"585","technician","married","secondary",192,"yes","no","jul",2,-1,0,"nonexistent","no"
"586","management","divorced","tertiary",38,"yes","no","jul",6,-1,0,"nonexistent","no"
"587","self-employed","single","secondary",518,"yes","no","may",7,-1,0,"nonexistent","no"
"588","self-employed","married","tertiary",16,"yes","yes","jul",4,-1,0,"nonexistent","no"
"589","blue-collar","married","secondary",-256,"yes","no","jun",2,-1,0,"nonexistent","no"
"590","blue-collar","married","secondary",105,"no","yes","jul",2,-1,0,"nonexistent","no"
"591","self-employed","married","tertiary",334,"no","no","jun",2,-1,0,"nonexistent","no"
"592","technician","married","secondary",1048,"no","yes","jul",1,-1,0,"nonexistent","no"
"593","services","married","secondary",108,"yes","yes","may",7,-1,0,"nonexistent","no"
"594","technician","married","secondary",660,"no","no","jun",1,-1,0,"nonexistent","no"
"595","unemployed","single","tertiary",0,"yes","no","jul",1,-1,0,"nonexistent","no"
"597","housemaid","married","primary",201,"yes","no","aug",2,382,1,"failure","no"
"598","housemaid","married","primary",189,"no","no","aug",4,-1,0,"nonexistent","no"
"600","technician","divorced","secondary",1413,"yes","no","jul",3,-1,0,"nonexistent","no"
"601","retired","divorced","tertiary",264,"yes","yes","jul",3,-1,0,"nonexistent","no"
"602","entrepreneur","married","tertiary",54,"yes","yes","nov",1,-1,0,"nonexistent","no"
"603","blue-collar","married","primary",12519,"yes","no","apr",2,147,4,"success","no"
"604","services","single","secondary",2881,"no","no","jul",1,-1,0,"nonexistent","yes"
"605","blue-collar","married","primary",0,"yes","no","jul",1,-1,0,"nonexistent","no"
"606","admin.","married","secondary",88,"yes","yes","aug",2,-1,0,"nonexistent","no"
"607","blue-collar","married","secondary",1020,"yes","no","may",1,-1,0,"nonexistent","no"
"608","technician","divorced","tertiary",119,"no","no","jul",8,-1,0,"nonexistent","no"
"609","unemployed","single","tertiary",1594,"no","no","feb",1,-1,0,"nonexistent","no"
"610","technician","married","tertiary",342,"yes","yes","may",1,-1,0,"nonexistent","no"
"611","services","single","secondary",72,"no","no","may",2,-1,0,"nonexistent","no"
"612","blue-collar","married","secondary",14,"yes","no","jun",1,-1,0,"nonexistent","no"
"613","entrepreneur","single","tertiary",81,"no","no","jul",3,-1,0,"nonexistent","no"
"614","self-employed","married","tertiary",231,"no","no","aug",2,-1,0,"nonexistent","yes"
"615","technician","married","tertiary",1161,"yes","no","apr",1,336,1,"failure","no"
"616","blue-collar","married","secondary",-45,"yes","no","jun",1,-1,0,"nonexistent","no"
"617","management","single","tertiary",231,"yes","yes","jul",2,-1,0,"nonexistent","no"
"618","management","single","secondary",36,"no","no","aug",2,-1,0,"nonexistent","no"
"619","technician","married","tertiary",1570,"yes","no","may",1,-1,0,"nonexistent","no"
"620","technician","married","tertiary",7050,"no","no","aug",3,182,4,"success","yes"
"621","blue-collar","married","primary",3704,"yes","no","jun",2,-1,0,"nonexistent","no"
"622","technician","single","tertiary",6619,"yes","no","aug",8,-1,0,"nonexistent","no"
"623","blue-collar","single","secondary",-84,"yes","no","may",1,-1,0,"nonexistent","no"
"624","management","single","tertiary",1509,"no","no","may",1,58,3,"failure","no"
"625","self-employed","married","tertiary",1134,"no","no","feb",2,-1,0,"nonexistent","no"
"626","technician","married","secondary",146,"yes","yes","may",2,-1,0,"nonexistent","no"
"627","management","single","tertiary",9449,"yes","no","may",1,-1,0,"nonexistent","no"
"628","retired","married","secondary",374,"yes","yes","jul",1,-1,0,"nonexistent","no"
"629","technician","married","secondary",88,"no","no","aug",2,-1,0,"nonexistent","no"
"630","management","married","tertiary",2764,"no","no","dec",1,206,2,"failure","no"
"631","management","single","tertiary",2,"yes","yes","jul",8,-1,0,"nonexistent","yes"
"632","technician","married","tertiary",8023,"no","no","nov",1,105,3,"failure","no"
"633","blue-collar","married","secondary",289,"yes","no","may",13,-1,0,"nonexistent","no"
"634","retired","married","secondary",0,"no","no","mar",10,-1,0,"nonexistent","no"
"635","self-employed","divorced","tertiary",1382,"no","no","jun",1,-1,0,"nonexistent","yes"
"636","management","divorced","tertiary",280,"no","yes","nov",1,-1,0,"nonexistent","no"
"637","blue-collar","divorced","primary",2195,"yes","no","jun",5,-1,0,"nonexistent","no"
"638","self-employed","married","secondary",33,"no","no","aug",4,-1,0,"nonexistent","no"
"639","blue-collar","divorced","secondary",275,"no","yes","jul",5,-1,0,"nonexistent","no"
"640","management","single","tertiary",703,"yes","no","jun",3,-1,0,"nonexistent","yes"
"643","admin.","single","secondary",1178,"yes","no","may",2,-1,0,"nonexistent","no"
"644","management","married","tertiary",2763,"yes","no","jun",2,-1,0,"nonexistent","yes"
"645","entrepreneur","single","tertiary",890,"yes","yes","aug",10,-1,0,"nonexistent","no"
"646","self-employed","married","secondary",548,"no","no","aug",4,-1,0,"nonexistent","yes"
"647","technician","married","tertiary",272,"no","no","aug",2,-1,0,"nonexistent","no"
"648","management","divorced","tertiary",6269,"yes","no","nov",3,112,2,"failure","no"
"649","entrepreneur","married","secondary",178,"yes","no","may",4,-1,0,"nonexistent","no"
"650","management","married","primary",252,"yes","yes","apr",2,147,3,"failure","no"
"651","housemaid","single","tertiary",23663,"yes","no","apr",2,146,2,"failure","no"
"652","entrepreneur","single","tertiary",81,"no","no","feb",1,199,3,"failure","no"
"653","self-employed","divorced","tertiary",59,"yes","no","may",2,-1,0,"nonexistent","no"
"654","services","married","secondary",1343,"no","yes","jul",1,-1,0,"nonexistent","no"
"655","retired","married","secondary",225,"no","no","aug",6,-1,0,"nonexistent","no"
"656","retired","married","primary",0,"yes","no","may",7,-1,0,"nonexistent","no"
"657","retired","divorced","primary",2538,"yes","no","jul",6,-1,0,"nonexistent","no"
"658","retired","married","primary",43,"no","no","mar",1,91,1,"success","no"
"659","technician","married","secondary",57,"no","no","may",1,342,1,"success","no"
"660","management","married","tertiary",-117,"yes","no","jul",2,-1,0,"nonexistent","no"
"661","technician","divorced","secondary",666,"yes","yes","apr",1,133,1,"nonexistent","no"
"662","management","single","tertiary",0,"yes","no","jul",5,-1,0,"nonexistent","yes"
"663","technician","single","tertiary",25,"yes","no","jun",2,-1,0,"nonexistent","yes"
"664","entrepreneur","married","primary",1034,"yes","no","nov",2,170,3,"nonexistent","no"
"665","blue-collar","single","secondary",324,"yes","no","may",6,-1,0,"nonexistent","no"
"666","technician","married","secondary",0,"no","no","nov",1,94,8,"failure","no"
"667","management","married","tertiary",0,"no","no","nov",1,-1,0,"nonexistent","no"
"668","management","married","primary",621,"no","yes","feb",1,208,1,"failure","no"
"669","retired","divorced","secondary",138,"no","no","jul",1,-1,0,"nonexistent","no"
"670","technician","married","secondary",4063,"no","yes","jul",4,-1,0,"nonexistent","no"
"671","blue-collar","married","secondary",11084,"no","no","jun",1,-1,0,"nonexistent","no"
"672","technician","married","secondary",310,"yes","no","feb",1,253,1,"failure","no"
"674","management","married","tertiary",1808,"yes","no","jun",4,-1,0,"nonexistent","no"
"675","unemployed","divorced","secondary",1281,"no","no","jul",3,-1,0,"nonexistent","no"
"676","technician","married","secondary",64,"yes","no","may",4,278,2,"nonexistent","no"
"677","management","single","tertiary",2,"yes","no","may",3,-1,0,"nonexistent","no"
"678","blue-collar","married","secondary",60,"no","yes","aug",2,-1,0,"nonexistent","no"
"679","services","single","secondary",133,"no","no","jun",6,-1,0,"nonexistent","no"
"680","housemaid","married","primary",3706,"no","no","jun",3,-1,0,"nonexistent","no"
"682","technician","married","secondary",251,"no","yes","aug",2,-1,0,"nonexistent","no"
"683","self-employed","married","secondary",4153,"yes","no","jul",16,-1,0,"nonexistent","no"
"684","technician","single","tertiary",985,"yes","no","feb",2,-1,0,"nonexistent","no"
"685","services","single","secondary",168,"no","no","jun",3,140,2,"success","yes"
"686","services","married","secondary",1550,"yes","no","apr",2,149,8,"failure","no"
"687","management","married","tertiary",7708,"yes","no","nov",5,-1,0,"nonexistent","no"
"688","blue-collar","married","primary",-12,"yes","no","may",5,-1,0,"nonexistent","no"
"689","management","married","primary",6483,"no","no","oct",1,-1,0,"nonexistent","no"
"690","technician","single","tertiary",60,"yes","yes","may",5,-1,0,"nonexistent","no"
"691","technician","single","secondary",3339,"yes","no","jun",1,-1,0,"nonexistent","no"
"692","student","single","tertiary",1161,"no","yes","jun",1,-1,0,"nonexistent","no"
"693","blue-collar","single","primary",599,"yes","no","may",1,-1,0,"nonexistent","no"
"695","management","married","tertiary",1430,"no","no","nov",2,-1,0,"nonexistent","no"
"696","retired","married","secondary",35,"no","yes","jul",4,-1,0,"nonexistent","no"
"697","self-employed","married","tertiary",6000,"yes","no","nov",1,-1,0,"nonexistent","no"
"698","technician","married","secondary",0,"yes","no","jul",1,-1,0,"nonexistent","no"
"699","blue-collar","single","secondary",340,"no","yes","jun",3,-1,0,"nonexistent","no"
"700","entrepreneur","married","tertiary",0,"no","no","may",1,168,4,"failure","no"
"701","services","married","secondary",3,"yes","no","jul",1,-1,0,"nonexistent","no"
"702","technician","single","tertiary",445,"yes","no","jul",1,-1,0,"nonexistent","no"
"703","management","divorced","tertiary",874,"no","no","aug",6,-1,0,"nonexistent","yes"
"704","blue-collar","married","secondary",705,"no","no","may",2,-1,0,"nonexistent","no"
"706","self-employed","divorced","tertiary",1354,"yes","no","may",2,-1,0,"nonexistent","yes"
"707","technician","single","tertiary",123,"no","no","aug",1,-1,0,"nonexistent","no"
"708","retired","married","primary",8894,"no","no","jun",1,-1,0,"nonexistent","no"
"709","blue-collar","married","secondary",429,"yes","no","may",1,-1,0,"nonexistent","no"
"710","housemaid","married","primary",14752,"no","no","may",2,-1,0,"nonexistent","no"
"711","blue-collar","married","primary",67,"no","no","jun",1,-1,0,"nonexistent","no"
"712","housemaid","divorced","secondary",39,"no","no","jul",2,-1,0,"nonexistent","no"
"713","technician","single","tertiary",102,"no","no","jan",2,-1,0,"nonexistent","no"
"714","student","single","secondary",1790,"no","no","apr",1,322,3,"failure","no"
"715","management","single","tertiary",15311,"no","no","apr",6,-1,0,"nonexistent","no"
"716","admin.","single","secondary",-635,"no","no","jul",1,-1,0,"nonexistent","no"
"717","blue-collar","married","secondary",115,"no","no","aug",4,-1,0,"nonexistent","no"
"718","management","married","tertiary",10786,"no","no","jun",3,-1,0,"nonexistent","no"
"719","blue-collar","married","secondary",498,"yes","no","may",2,298,4,"failure","no"
"720","blue-collar","married","secondary",1045,"yes","yes","jul",13,-1,0,"nonexistent","no"
"721","entrepreneur","married","tertiary",810,"no","no","jun",1,-1,0,"nonexistent","no"
"722","technician","single","tertiary",-162,"yes","no","may",1,-1,0,"nonexistent","no"
"723","management","married","tertiary",55,"no","no","feb",3,-1,0,"nonexistent","no"
"724","services","married","secondary",586,"yes","yes","may",2,-1,0,"nonexistent","no"
"725","technician","single","secondary",455,"no","no","jan",1,182,8,"nonexistent","no"
"726","management","married","tertiary",1010,"yes","no","may",3,364,9,"nonexistent","no"
"727","management","single","tertiary",509,"yes","no","may",1,-1,0,"nonexistent","no"
"729","technician","married","secondary",3071,"yes","yes","may",3,-1,0,"nonexistent","no"
"730","management","single","tertiary",153,"yes","no","nov",2,-1,0,"nonexistent","no"
"731","self-employed","single","secondary",1146,"yes","no","may",2,-1,0,"nonexistent","no"
"732","blue-collar","married","primary",1092,"no","yes","nov",1,172,8,"failure","no"
"733","management","married","tertiary",3463,"no","yes","oct",1,-1,0,"nonexistent","yes"
"734","admin.","married","secondary",1158,"yes","no","apr",2,-1,0,"nonexistent","no"
"735","admin.","single","secondary",26,"yes","no","may",2,-1,0,"nonexistent","no"
"736","services","single","secondary",566,"no","no","feb",1,-1,0,"nonexistent","no"
"737","technician","divorced","secondary",204,"no","no","aug",2,-1,0,"nonexistent","no"
"738","technician","married","secondary",480,"no","no","oct",1,-1,0,"nonexistent","yes"
"739","technician","single","secondary",1855,"yes","no","feb",1,273,1,"failure","no"
"740","services","married","secondary",1034,"no","no","aug",2,-1,0,"nonexistent","no"
"741","management","married","tertiary",3250,"no","no","aug",3,-1,0,"nonexistent","no"
"742","management","single","secondary",1633,"no","no","jun",1,-1,0,"nonexistent","yes"
"743","services","married","secondary",0,"yes","no","jun",1,124,1,"nonexistent","no"
"744","retired","married","primary",3334,"no","no","aug",4,-1,0,"nonexistent","yes"
"745","management","married","tertiary",4020,"yes","yes","apr",1,-1,0,"nonexistent","no"
"746","management","married","secondary",66,"no","yes","jul",1,-1,0,"nonexistent","no"
"747","technician","single","secondary",-41,"yes","yes","apr",1,-1,0,"nonexistent","no"
"748","blue-collar","married","secondary",322,"yes","no","may",1,-1,0,"nonexistent","no"
"749","entrepreneur","married","primary",2643,"no","yes","jul",1,-1,0,"nonexistent","no"
"750","blue-collar","divorced","primary",49,"yes","no","may",1,-1,0,"nonexistent","no"
"751","admin.","divorced","primary",1,"no","no","may",10,-1,0,"nonexistent","no"
"752","admin.","married","secondary",3098,"yes","no","nov",9,-1,0,"nonexistent","no"
"753","blue-collar","married","primary",352,"yes","no","may",9,-1,0,"nonexistent","no"
"754","technician","married","secondary",65,"no","no","aug",2,-1,0,"nonexistent","no"
"755","blue-collar","married","secondary",1949,"yes","no","jun",3,-1,0,"nonexistent","no"
"756","admin.","single","secondary",739,"yes","no","nov",3,-1,0,"nonexistent","no"
"757","management","married","tertiary",1167,"yes","yes","jun",1,-1,0,"nonexistent","yes"
"758","admin.","married","secondary",231,"yes","no","nov",2,-1,0,"nonexistent","no"
"759","blue-collar","married","primary",1136,"yes","no","may",1,-1,0,"nonexistent","no"
"760","entrepreneur","married","tertiary",233,"no","no","feb",1,-1,0,"nonexistent","no"
"761","admin.","married","secondary",817,"no","no","apr",1,-1,0,"nonexistent","no"
"762","blue-collar","single","primary",1128,"yes","no","jun",4,-1,0,"nonexistent","no"
"763","management","single","tertiary",1831,"yes","no","apr",2,-1,0,"nonexistent","no"
"764","technician","single","secondary",450,"yes","no","may",1,-1,0,"nonexistent","no"
"765","services","married","secondary",0,"yes","no","may",2,281,8,"failure","no"
"766","management","divorced","secondary",414,"no","no","jan",2,162,4,"failure","no"
"767","management","married","primary",1052,"yes","no","may",4,-1,0,"nonexistent","no"
"768","admin.","single","secondary",1022,"yes","no","may",2,-1,0,"nonexistent","no"
"769","admin.","married","primary",343,"yes","no","jul",3,-1,0,"nonexistent","no"
"770","management","married","tertiary",1944,"yes","no","apr",3,323,2,"failure","no"
"771","blue-collar","single","secondary",-32,"yes","yes","jul",6,-1,0,"nonexistent","no"
"772","technician","married","secondary",1781,"yes","no","may",2,-1,0,"nonexistent","no"
"773","management","single","tertiary",350,"no","no","jul",1,-1,0,"nonexistent","no"
"774","unemployed","married","secondary",2,"yes","no","jul",1,-1,0,"nonexistent","no"
"775","blue-collar","single","primary",111,"yes","yes","may",4,-1,0,"nonexistent","no"
"776","management","divorced","tertiary",168,"yes","no","jun",1,-1,0,"nonexistent","no"
"777","technician","single","secondary",3,"no","no","may",8,349,6,"failure","no"
"778","technician","single","secondary",102,"yes","no","may",2,-1,0,"nonexistent","no"
"779","blue-collar","married","primary",0,"yes","no","may",1,-1,0,"nonexistent","no"
"781","blue-collar","married","secondary",1134,"yes","no","may",2,-1,0,"nonexistent","no"
"782","blue-collar","married","secondary",352,"yes","no","may",3,-1,0,"nonexistent","no"
"783","management","married","tertiary",865,"yes","no","jun",1,-1,0,"nonexistent","no"
"784","blue-collar","married","primary",179,"yes","no","may",3,-1,0,"nonexistent","no"
"785","blue-collar","single","secondary",5,"yes","no","may",3,-1,0,"nonexistent","no"
"786","student","married","tertiary",-230,"yes","no","may",2,-1,0,"nonexistent","no"
"787","management","divorced","tertiary",0,"no","no","aug",2,-1,0,"nonexistent","no"
"788","blue-collar","married","primary",3924,"yes","no","apr",2,-1,0,"nonexistent","no"
"789","technician","married","secondary",764,"yes","no","jul",5,-1,0,"nonexistent","no"
"790","blue-collar","divorced","primary",511,"yes","no","may",1,-1,0,"nonexistent","no"
"791","management","single","tertiary",4348,"yes","no","aug",8,-1,0,"nonexistent","no"
"792","management","married","tertiary",3016,"yes","no","jul",3,-1,0,"nonexistent","no"
"793","student","single","secondary",279,"no","no","may",3,-1,0,"nonexistent","no"
"794","management","divorced","tertiary",1405,"no","no","jun",1,-1,0,"nonexistent","no"
"795","blue-collar","single","secondary",908,"yes","no","jun",1,-1,0,"nonexistent","yes"
"796","management","single","tertiary",162,"yes","no","may",4,-1,0,"nonexistent","no"
"797","services","divorced","secondary",792,"no","no","jun",1,-1,0,"nonexistent","no"
"798","management","married","secondary",111,"no","no","mar",2,-1,0,"nonexistent","no"
"801","management","married","tertiary",2881,"no","no","aug",2,2,5,"nonexistent","no"
"802","blue-collar","single","secondary",445,"yes","no","apr",1,330,2,"failure","no"
"803","management","married","secondary",643,"yes","no","apr",2,256,1,"failure","no"
"804","housemaid","single","secondary",254,"no","no","oct",1,-1,0,"nonexistent","no"
"805","management","married","tertiary",-1212,"yes","no","may",2,333,18,"failure","no"
"806","technician","married","secondary",2125,"yes","yes","nov",3,116,4,"failure","no"
"808","blue-collar","married","secondary",-202,"yes","yes","jul",4,-1,0,"nonexistent","no"
"809","technician","single","secondary",271,"yes","no","may",2,268,2,"nonexistent","no"
"810","management","married","tertiary",703,"yes","no","apr",1,-1,0,"nonexistent","yes"
"811","blue-collar","married","secondary",-216,"yes","no","jul",3,-1,0,"nonexistent","no"
"812","services","divorced","secondary",88,"no","yes","jul",1,-1,0,"nonexistent","no"
"813","admin.","single","tertiary",16,"yes","no","jan",1,-1,0,"nonexistent","no"
"814","management","married","secondary",466,"yes","no","may",1,-1,0,"nonexistent","no"
"815","technician","married","secondary",-75,"yes","no","feb",1,247,1,"nonexistent","no"
"816","blue-collar","married","secondary",456,"no","no","may",1,-1,0,"nonexistent","no"
"817","technician","married","secondary",77,"yes","no","may",1,-1,0,"nonexistent","no"
"818","services","single","secondary",-244,"no","no","jul",1,-1,0,"nonexistent","no"
"819","blue-collar","single","primary",1209,"no","no","jan",1,-1,0,"nonexistent","no"
"820","services","married","secondary",58,"yes","no","may",1,337,2,"nonexistent","no"
"821","management","married","secondary",421,"no","no","nov",5,-1,0,"nonexistent","no"
"822","management","single","tertiary",112,"yes","no","feb",2,271,1,"failure","no"
"823","self-employed","married","tertiary",13669,"no","no","oct",1,136,8,"nonexistent","no"
"824","management","married","tertiary",1429,"yes","no","nov",1,198,2,"nonexistent","yes"
"825","technician","married","tertiary",794,"no","no","feb",1,-1,0,"nonexistent","no"
"826","entrepreneur","single","tertiary",1957,"no","no","feb",3,-1,0,"nonexistent","no"
"827","technician","married","secondary",454,"yes","no","jul",1,-1,0,"nonexistent","no"
"828","blue-collar","single","primary",882,"no","yes","jul",8,-1,0,"nonexistent","no"
"829","unemployed","married","primary",168,"yes","no","jan",1,241,1,"nonexistent","no"
"830","management","single","tertiary",714,"yes","no","aug",22,-1,0,"nonexistent","no"
"831","management","single","tertiary",0,"no","no","sep",1,-1,0,"nonexistent","no"
"832","blue-collar","married","secondary",1996,"no","no","jun",2,-1,0,"nonexistent","yes"
"833","retired","married","secondary",163,"no","no","jul",1,-1,0,"nonexistent","no"
"834","admin.","married","secondary",3190,"yes","no","jun",2,-1,0,"nonexistent","no"
"835","unemployed","married","secondary",1772,"no","no","jul",4,-1,0,"nonexistent","no"
"836","services","single","secondary",-151,"no","no","jul",2,-1,0,"nonexistent","no"
"837","housemaid","married","primary",16,"no","no","jun",1,-1,0,"nonexistent","no"
"838","services","single","secondary",7066,"yes","no","may",3,357,3,"nonexistent","yes"
"839","technician","single","tertiary",454,"no","no","feb",3,-1,0,"nonexistent","no"
"840","entrepreneur","married","tertiary",4798,"yes","no","may",2,-1,0,"nonexistent","no"
"841","technician","single","secondary",-298,"yes","no","jun",7,-1,0,"nonexistent","no"
"842","technician","married","secondary",439,"no","no","aug",2,-1,0,"nonexistent","no"
"843","services","divorced","secondary",1927,"yes","no","may",1,-1,0,"nonexistent","no"
"844","management","single","secondary",671,"yes","yes","jan",2,259,5,"failure","no"
"845","services","single","secondary",65,"yes","no","may",3,-1,0,"nonexistent","no"
"846","technician","married","secondary",-932,"yes","no","apr",1,-1,0,"nonexistent","no"
"847","technician","single","secondary",4366,"yes","no","jul",2,-1,0,"nonexistent","no"
"848","retired","married","primary",0,"yes","no","jul",2,-1,0,"nonexistent","no"
"849","blue-collar","married","secondary",4900,"yes","no","jul",2,-1,0,"nonexistent","no"
"850","housemaid","divorced","primary",976,"no","no","jun",1,94,3,"nonexistent","yes"
"851","management","married","tertiary",148,"no","no","may",1,-1,0,"nonexistent","no"
"852","blue-collar","married","secondary",5,"no","no","aug",3,-1,0,"nonexistent","no"
"853","management","married","secondary",-148,"no","no","nov",2,-1,0,"nonexistent","no"
"854","technician","divorced","tertiary",113,"no","yes","jul",1,-1,0,"nonexistent","no"
"855","management","married","secondary",-105,"yes","no","aug",2,-1,0,"nonexistent","no"
"856","management","divorced","tertiary",624,"no","no","sep",2,183,2,"success","yes"
"857","technician","married","secondary",-1680,"yes","yes","jun",4,-1,0,"nonexistent","no"
"858","blue-collar","married","secondary",-461,"no","no","may",2,353,1,"failure","no"
"859","technician","single","tertiary",144,"yes","yes","oct",1,85,19,"failure","no"
"860","entrepreneur","divorced","tertiary",4,"yes","yes","apr",5,-1,0,"nonexistent","no"
"861","blue-collar","married","primary",309,"no","no","aug",2,-1,0,"nonexistent","no"
"862","management","married","tertiary",866,"no","no","jan",2,-1,0,"nonexistent","no"
"863","admin.","single","secondary",1020,"yes","no","may",1,-1,0,"nonexistent","yes"
"864","self-employed","married","primary",489,"yes","no","may",4,-1,0,"nonexistent","no"
"865","management","married","primary",8167,"yes","no","may",2,-1,0,"nonexistent","no"
"866","blue-collar","single","secondary",-255,"no","yes","jul",3,-1,0,"nonexistent","no"
"867","retired","married","secondary",3671,"no","no","jun",3,-1,0,"nonexistent","no"
"868","blue-collar","divorced","primary",636,"yes","no","jul",11,-1,0,"nonexistent","no"
"869","technician","married","secondary",141,"yes","no","aug",2,-1,0,"nonexistent","no"
"870","technician","married","secondary",150,"yes","yes","may",6,349,1,"failure","no"
"871","technician","married","secondary",839,"no","yes","may",1,-1,0,"nonexistent","no"
"872","housemaid","single","primary",26965,"no","no","apr",2,-1,0,"nonexistent","yes"
"873","technician","single","secondary",716,"yes","no","may",2,-1,0,"nonexistent","no"
"874","technician","single","tertiary",2485,"no","no","jul",6,-1,0,"nonexistent","no"
"875","management","single","tertiary",15030,"yes","no","may",1,174,7,"nonexistent","no"
"876","admin.","married","secondary",11303,"no","no","may",2,-1,0,"nonexistent","no"
"877","entrepreneur","married","tertiary",595,"no","no","aug",2,-1,0,"nonexistent","no"
"878","management","single","tertiary",19358,"no","no","nov",2,-1,0,"nonexistent","no"
"879","self-employed","single","secondary",203,"no","yes","nov",1,-1,0,"nonexistent","no"
"880","technician","single","tertiary",183,"yes","yes","may",2,-1,0,"nonexistent","no"
"881","admin.","single","secondary",255,"no","no","apr",1,80,1,"success","yes"
"882","technician","single","secondary",102,"yes","no","apr",2,345,2,"failure","no"
"883","housemaid","divorced","primary",94,"yes","no","jul",4,-1,0,"nonexistent","no"
"884","entrepreneur","married","primary",58,"yes","no","may",3,371,3,"failure","no"
"885","management","married","primary",606,"no","no","mar",6,-1,0,"nonexistent","no"
"886","technician","married","secondary",0,"no","yes","jul",1,-1,0,"nonexistent","no"
"887","technician","married","primary",65,"yes","no","may",2,-1,0,"nonexistent","yes"
"888","blue-collar","married","secondary",338,"yes","no","may",1,-1,0,"nonexistent","no"
"889","blue-collar","married","primary",757,"yes","no","may",4,-1,0,"nonexistent","no"
"890","management","married","tertiary",9269,"yes","yes","nov",2,-1,0,"nonexistent","no"
"891","blue-collar","married","primary",1206,"no","yes","jul",5,-1,0,"nonexistent","no"
"892","management","single","tertiary",882,"no","yes","jan",1,205,2,"failure","no"
"893","student","single","tertiary",5291,"no","no","nov",2,92,2,"failure","yes"
"894","management","single","secondary",61,"yes","no","jan",2,246,1,"failure","no"
"895","technician","married","tertiary",0,"yes","no","nov",1,-1,0,"nonexistent","no"
"896","blue-collar","married","secondary",1407,"yes","no","may",3,-1,0,"nonexistent","no"
"897","technician","single","secondary",25,"no","no","feb",1,-1,0,"nonexistent","no"
"898","blue-collar","married","secondary",1354,"yes","yes","nov",2,-1,0,"nonexistent","no"
"899","blue-collar","married","primary",793,"yes","no","apr",1,-1,0,"nonexistent","no"
"901","technician","single","secondary",5235,"no","no","aug",3,-1,0,"nonexistent","no"
